Time,Date,ProcessName,AppTitle,ProcessId,DurationSeconds
"2026-06-22 12:06:14","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:06:19","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:06:24","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:06:29","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:06:34","2026-06-22","SnippingTool","Snipping Tool Overlay","13908","5"
"2026-06-22 12:06:39","2026-06-22","SnippingTool","Snipping Tool Overlay","13908","5"
"2026-06-22 12:06:44","2026-06-22","SnippingTool","Snipping Tool","13908","5"
"2026-06-22 12:06:49","2026-06-22","SnippingTool","Snipping Tool","13908","5"
"2026-06-22 12:06:54","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:06:59","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:07:04","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:07:09","2026-06-22","chrome","AI in Agriculture in india - AetherDesk TrendRadar - Google Chrome","20632","5"
"2026-06-22 12:07:14","2026-06-22","chrome","AI in Agriculture in india - AetherDesk TrendRadar - Google Chrome","20632","5"
"2026-06-22 12:07:19","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:07:24","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:07:29","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:07:34","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:07:39","2026-06-22","chrome","AI in Agriculture in india - AetherDesk TrendRadar - Google Chrome","20632","5"
"2026-06-22 12:07:44","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:07:49","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:07:54","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:07:59","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:08:04","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:08:09","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:08:14","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:08:19","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:08:24","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:08:29","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:08:34","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:08:39","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:08:44","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:08:49","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:08:54","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:08:59","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:09:04","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:09:09","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:09:14","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:09:19","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:09:24","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:09:29","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:09:34","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:09:39","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:09:44","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:09:49","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:09:54","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:09:59","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:10:04","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:10:09","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:10:14","2026-06-22","chrome","AI in Agriculture in india - AetherDesk TrendRadar - Google Chrome","20632","5"
"2026-06-22 12:10:19","2026-06-22","chrome","GitHub - Google Chrome","20632","5"
"2026-06-22 12:10:24","2026-06-22","chrome","GitHub - Google Chrome","20632","5"
"2026-06-22 12:10:29","2026-06-22","chrome","GitHub - Google Chrome","20632","5"
"2026-06-22 12:10:34","2026-06-22","chrome","GitHub - Google Chrome","20632","5"
"2026-06-22 12:10:39","2026-06-22","chrome","GitHub - Google Chrome","20632","5"
"2026-06-22 12:10:44","2026-06-22","chrome","GitHub - Google Chrome","20632","5"
"2026-06-22 12:10:49","2026-06-22","chrome","GitHub - Google Chrome","20632","5"
"2026-06-22 12:10:54","2026-06-22","chrome","GitHub - Google Chrome","20632","5"
"2026-06-22 12:10:59","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:11:05","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:11:10","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:11:15","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:11:20","2026-06-22","Code","social-trends.ps1 - AetherDeskAI - Visual Studio Code","20408","5"
"2026-06-22 12:11:25","2026-06-22","powershell","AetherDesk AI Control Center","17364","5"
"2026-06-22 12:11:30","2026-06-22","explorer","No title","6632","5"
"2026-06-22 12:11:35","2026-06-22","powershell","AetherDesk AI Control Center","1872","5"
"2026-06-22 12:11:40","2026-06-22","powershell","AetherDesk AI Control Center","1872","5"
"2026-06-22 12:11:45","2026-06-22","powershell","AetherDesk AI Control Center","1872","5"
"2026-06-22 12:11:50","2026-06-22","powershell","AetherDesk AI Control Center","1872","5"
"2026-06-22 12:11:55","2026-06-22","powershell","AetherDesk AI Control Center","1872","5"
"2026-06-22 12:12:00","2026-06-22","powershell","AetherDesk AI Control Center","1872","5"
"2026-06-22 12:12:05","2026-06-22","powershell","AetherDesk AI Control Center","1872","5"
"2026-06-22 12:12:10","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:12:15","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:12:20","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:12:25","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:12:30","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:12:35","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:12:40","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:12:45","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:12:50","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:12:55","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:13:00","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:13:05","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:13:10","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:13:15","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:13:20","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:13:25","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:13:30","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:13:35","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:13:40","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:13:45","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:13:50","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:13:55","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:14:00","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:14:05","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:14:10","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:14:15","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:14:20","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:14:25","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:14:30","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
"2026-06-22 12:14:35","2026-06-22","WindowsTerminal","C:\WINDOWS\system32\cmd.exe","18204","5"
