Time,Date,ProcessName,AppTitle,ProcessId,DurationSeconds
"2026-06-20 17:08:10","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:08:10","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:08:15","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:08:20","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:08:25","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:08:30","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:08:35","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:08:40","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:08:45","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:08:50","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:08:55","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:09:00","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:09:05","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:09:10","2026-06-20","WindowsTerminal","Windows Terminal","17368","5"
"2026-06-20 17:09:15","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:09:20","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:09:25","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:09:30","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:09:35","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:09:40","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:09:45","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:09:50","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:09:55","2026-06-20","chrome","Current Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:10:00","2026-06-20","chrome","Current Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:10:05","2026-06-20","chrome","Current Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:10:10","2026-06-20","chrome","Current Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:10:15","2026-06-20","chrome","Current Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:10:20","2026-06-20","chrome","Current Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:10:25","2026-06-20","chrome","Current Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:10:30","2026-06-20","chrome","Current Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:10:35","2026-06-20","chrome","Current Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:10:40","2026-06-20","chrome","Current Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:10:45","2026-06-20","SnippingTool","Snipping Tool","6220","5"
"2026-06-20 17:10:50","2026-06-20","SnippingTool","Snipping Tool Overlay","6220","5"
"2026-06-20 17:10:55","2026-06-20","chrome","Ollama Server Error Troubleshooting - Google Chrome","7448","5"
"2026-06-20 17:11:00","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:11:06","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:11:11","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:11:16","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:11:21","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:11:26","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:11:31","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:11:36","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:11:41","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:11:46","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:11:51","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:11:56","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:12:01","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:12:06","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:12:11","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:12:16","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:12:21","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:12:26","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:12:31","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:12:36","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:12:41","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:12:46","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:12:51","2026-06-20","chrome","Current Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:12:56","2026-06-20","chrome","Current Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:13:01","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:13:06","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:13:11","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:13:16","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:13:21","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:13:26","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:13:31","2026-06-20","chrome","Local Folder AI App - Google Chrome","7448","5"
"2026-06-20 17:13:36","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:13:41","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:13:46","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:13:51","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:13:56","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:14:01","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:14:06","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:14:11","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:14:16","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:14:21","2026-06-20","WindowsTerminal","Windows PowerShell","17368","5"
"2026-06-20 17:14:26","2026-06-20","chrome","Professional Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:14:31","2026-06-20","chrome","Professional Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:14:36","2026-06-20","chrome","Professional Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:14:41","2026-06-20","chrome","Professional Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:14:46","2026-06-20","chrome","Professional Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:14:51","2026-06-20","chrome","Professional Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:14:56","2026-06-20","chrome","Professional Productivity Dashboard - Google Chrome","7448","5"
"2026-06-20 17:15:01","2026-06-20","chrome","Professional Productivity Dashboard - Google Chrome","7448","5"
